"nomPilote";"Genre";"Espece"
"2260";"bois serpent";"Duroia";"micrantha"
"1123";"boliken koko";"Licania";"heteromorpha"
"2365";"boliken koko";"Couepia";"bracteosa"
"9862";"boliken koko";"Parinari";"campestris"
"26726";"boliken koko";"Couepia";"guianensis"
"32580";"boliken koko";"Parinari";"montana"
"38795";"boliken koko";"Couepia";"habrantha"
"44439";"boliken koko";"Licania";"Indet."
"59058";"boliken koko";"Licania";"membranacea"
"69397";"boliken koko";"Myrcia";"magnoliifolia"
"4142";"bugu bugu";"Swartzia";"polyphylla"
"1630";"buguni";"Inga";"loubryana"
"1873";"buguni";"Inga";"Indet."
"24841";"buguni";"Inga";"rubiginosa"
"71754";"buguni";"Inga";"marginata"
"100068";"buguni";"Inga";"jenmanii"
"9194";"bumbi kidia";"Vitex";"triflora"
"47958";"bumbi kidia";"Rinorea";"flavescens"
"16254";"busi banda";"Eugenia";"pseudopsidium"
"20285";"busi banda";"Indet.";"sp.36CAY-ATDN"
"20461";"busi banda";"Indet.";"Indet."
"22022";"busi banda";"Eugenia";"exaltata"
"29691";"busi banda";"Leonia";"glycycarpa"
"37860";"busi banda";"Chaunochiton";"kappleri"
"38470";"busi banda";"Calycolpus";"goetheanus"
"42430";"busi banda";"Chaetocarpus";"schomburgkianus"
"63345";"busi banda";"Cheiloclinium";"cognatum"
"65218";"busi banda";"Myrciaria";"floribunda"
"82242";"busi banda";"Heisteria";"densifrons"
"95854";"busi banda";"Eugenia";"tetramera"
"2107";"busi cacao";"Theobroma";"subincanum"
"12023";"busi kanambuli";"Simaba";"morettii"
"48553";"busi kanambuli";"Simaba";"polyphylla"
"2665";"busi kasu";"Anacardium";"spruceanum"
"3670";"busi kasu";"Virola";"michelii"
"7318";"busi kasu";"Indet.";"Indet."
"80213";"busi kasu";"Eugenia";"anastomosans"
"142";"busi kiki";"Mabea";"piriri"
"7002";"busi kiki";"Cordia";"sagotii"
"53823";"busi kiki";"Eschweilera";"simiorum"
"21260";"busi kiki kisi";"Cordia";"sagotii"
"90400";"busi kiki kisi";"Mabea";"piriri"
"9700";"busi kosu";"Coccoloba";"mollis"
"10704";"busi kosu";"Sloanea";"grandiflora"
"15956";"busi kosu";"Sloanea";"brevipes"
"17469";"busi kosu";"Sloanea";"Indet."
"38203";"busi kosu";"Sloanea";"tuerckheimii"
"71990";"busi kosu";"Sloanea";"sp.8CAY-ATDN"
"75102";"busi kosu";"Sloanea";"sp.20CAY-ATDN"
"78776";"busi kosu";"Sloanea";"parviflora"
"79859";"busi kosu";"Sloanea";"laxiflora"
"85382";"busi kosu";"Sloanea";"sp.14CAY-ATDN"
"92969";"busi kosu";"Sloanea";"guianensis"
"1069";"busi mango";"Tovomita";"sp.2CAY-ATDN"
"2414";"busi mango";"Tovomita";"Indet."
"5435";"busi mango";"Tovomita";"sp.11CAY-ATDN"
"7099";"busi mango";"Tovomita";"obovata"
"17698";"busi mango";"Tovomita";"sp.B1"
"40396";"busi mango";"Tovomita";"sp.3CAY-ATDN"
"42191";"busi mango";"Tovomita";"sp.5CAY-ATDN"
"24099";"busi papaie";"Pourouma";"bicolor"
"56890";"busi papaie";"Pourouma";"Indet."
"41426";"canari macaque";"Lecythis";"zabucajo"
"3722";"carapa";"Carapa";"surinamensis"
"23750";"cèdre";"Indet.";"Indet."
"47917";"cèdre";"Rhodostemonodaphne";"grandis"
"54886";"cèdre";"Licaria";"chrysophylla"
"58588";"cèdre";"Ocotea";"argyrophylla"
"58615";"cèdre";"Licaria";"cannella"
"65642";"cèdre";"Sloanea";"laxiflora"
"65729";"cèdre";"Ocotea";"subterminalis"
"72350";"cèdre";"Ocotea";"puberula"
"94267";"cèdre";"Ocotea";"nigra"
"100049";"cèdre";"Ocotea";"percurrens"
"61018";"cèdre cannelle";"Ocotea";"subterminalis"
"77970";"cèdre cannelle";"Licaria";"cannella"
"85220";"cèdre cannelle";"Licaria";"chrysophylla"
"2080";"chawari";"Caryocar";"glabrum"
"4553";"cœur dehors";"Enterolobium";"oldemanii"
"31655";"cœur dehors";"Diplotropis";"purpurea"
"24889";"comou";"Oenocarpus";"bacaba"
"78044";"comou";"Oenocarpus";"bataua"
"98062";"comou";"Attalea";"maripa"
"2611";"copaya";"Jacaranda";"copaia"
"1273";"diaguidia";"Tachigali";"melinonii"
"24756";"diaguidia";"Tachigali";"paraensis"
"34902";"diaguidia";"Tachigali";"Indet."
"35203";"diaguidia";"Tachigali";"richardiana"
"995";"diankoi mata";"Guarea";"pubescens"
"4247";"diankoi mata";"Abarema";"mataybifolia"
"4826";"diankoi mata";"Swartzia";"guianensis"
