"nomPilote";"Genre";"Espece"
"72332";"weti apisi";"Protium";"guianense"
"74864";"weti apisi";"Ocotea";"subterminalis"
"45853";"weti bakuman";"Indet.";"Indet."
"66444";"weti banda";"Chaetocarpus";"sp.1CAY-ATDN"
"7080";"weti koko";"Drypetes";"variabilis"
"11079";"weti koko";"Amphirrhox";"longifolia"
"12066";"weti koko";"Poraqueiba";"guianensis"
"16089";"weti koko";"Hebepetalum";"humiriifolium"
"21893";"weti koko";"Leonia";"glycycarpa"
"24772";"weti koko";"Licania";"alba"
"27930";"weti koko";"Drypetes";"fanshawei"
"46891";"weti koko";"Sandwithia";"guyanensis"
"21361";"weti mapa";"Indet.";"Indet."
"72641";"weti mapa";"Macoubea";"guianensis"
"85870";"weti mapa";"Tabernaemontana";"attenuata"
"95772";"weti mapa";"Ambelania";"acida"
"42218";"weti paya";"Trymatococcus";"oligandrus"
"54490";"weti paya";"Pseudolmedia";"laevis"
"29278";"weti pedieku";"Xylopia";"nitida"
"72513";"weti pedieku";"Xylopia";"frutescens"
"60686";"weti sali";"Protium";"guianense"
"63654";"weti sali";"Indet.";"Indet."
"40041";"weti topi";"Mouriri";"Indet."
"66825";"weti topi";"Chaetocarpus";"sp.1CAY-ATDN"
"9141";"weti udu";"Mabea";"piriri"
"11526";"weti udu";"Antonia";"ovata"
"14477";"win udu";"Mahurea";"palustris"
"19269";"win udu";"Hieronyma";"oblonga"
"11593";"yayamadou montagne";"Virola";"michelii"
"109673";"-";"Indet.";"Indet."
"117450";"-";"Inga";"Indet."
"170374";"acacia franc";"Enterolobium";"oldemanii"
"135016";"adugue";"Swartzia";"leblondii"
"111952";"agui";"Ormosia";"Indet."
"134940";"agui";"Indet.";"Indet."
"133655";"agusiton";"Duroia";"longiflora"
"182056";"agusiton";"Leonia";"glycycarpa"
"177317";"akoinsiba";"Vitex";"triflora"
"144300";"aluau";"Dacryodes";"nitens"
"112998";"baaka koko";"Luehea";"speciosa"
"181715";"baaka koko";"Couepia";"Indet."
"136404";"baaka mapa";"Macoubea";"guianensis"
"115807";"babun weko";"Inga";"Indet."
"177560";"bakuman";"Licania";"sprucei"
"177618";"bakuman";"Guatteria";"citriodora"
"103243";"balata pomme";"Chrysophyllum";"Indet."
"103696";"balata pomme";"Indet.";"Indet."
"112330";"bofo paya";"Indet.";"Indet."
"116379";"bois canon";"Cecropia";"Indet."
"181460";"bois canon";"Cecropia";"sciadophylla"
"182427";"bois canon";"Guatteria";"guianensis"
"181959";"bois saint jean";"Schefflera";"Indet."
"102674";"boliken koko";"Humiriastrum";"subcrenatum"
"129325";"boliken koko";"Couepia";"parillo"
"129994";"boliken koko";"Licania";"licaniiflora"
"138462";"boliken koko";"Couepia";"Indet."
"163249";"boliken koko";"Indet.";"Indet."
"170281";"boliken koko";"Eschweilera";"coriacea"
"136177";"buguni";"Inga";"pezizifera"
"149363";"buguni";"Inga";"alba"
"110113";"busi cacao";"Theobroma";"Indet."
"117438";"busi cacao";"Apeiba";"glabra"
"131934";"busi cacao";"Sterculia";"Indet."
"136767";"busi cacao";"Lueheopsis";"Indet."
"114616";"busi kanambuli";"Simaba";"Indet."
"158484";"busi papaie";"Cecropia";"obtusa"
"103479";"cèdre cannelle";"Indet.";"Indet."
"138894";"diaguidia";"Inga";"Indet."
"182613";"diaguidia";"Indet.";"Indet."
"114996";"diapapaie";"Cecropia";"Indet."
"115615";"diapapaie";"Cecropia";"sciadophylla"
"169819";"diapapaie";"Pourouma";"Indet."
"157789";"dodomisinga";"Albizia";"pedicellaris"
"103457";"dokali";"Brosimum";"utile"
"138035";"ébène verte";"Rhodostemonodaphne";"grandis"
"137412";"encens";"Tetragastris";"panamensis"
"177517";"Eperua grandiflora";"Eperua";"falcata"
"177794";"funguti koko";"Licania";"densiflora"
"109204";"geli apisi";"Indet.";"Indet."
"138946";"geli apisi";"Rhodostemonodaphne";"grandis"
"178077";"geli koko";"Licania";"alba"
"146391";"inkasa";"Indet.";"Indet."
"109345";"kakabuku";"Swartzia";"Indet."
"116747";"kankan udu";"Apeiba";"Indet."
"178399";"kimboto";"Pradosia";"Indet."
"101736";"kodia weko";"Inga";"Indet."
"102090";"koko";"Hirtella";"Indet."
"102814";"koko";"Indet.";"Indet."
"105927";"koko";"Humiriastrum";"subcrenatum"
"111136";"koko";"Hebepetalum";"humiriifolium"
"113056";"koko";"Couepia";"parillo"
"115077";"koko";"Drypetes";"fanshawei"
"126203";"koko";"Diospyros";"Indet."
"126417";"koko";"Diospyros";"carbonaria"
"133015";"koko";"Couepia";"obovata"
"134205";"koko";"Ouratea";"decagyna"
"136799";"koko";"Licania";"Indet."
"165099";"koko";"Licania";"micrantha"
"166063";"koko";"Cheiloclinium";"cognatum"
"170462";"koko";"Garcinia";"Indet."
"174404";"koko";"Drypetes";"Indet."
"151062";"kumanti udu";"Aspidosperma";"album"
"112878";"kwata bobi";"Indet.";"Indet."
"142170";"lebi koko";"Licania";"heteromorpha"
"153621";"lebi koko";"Couepia";"Indet."
"155789";"maho cigare";"Couratari";"Indet."
"180579";"maho cigare";"Indet.";"Indet."
"109525";"maho cochon";"Sterculia";"Indet."
"182467";"maho cochon";"Pourouma";"melinonii"
"138400";"maho coton";"Eriotheca";"Indet."
"171370";"maho noir";"Lecythis";"corrugata"
"178476";"maho noir";"Eschweilera";"decolorans"
"178607";"maho noir";"Theobroma";"subincanum"
"110188";"maho rouge";"Eschweilera";"Indet."
"126596";"maho rouge";"Eschweilera";"decolorans"
"128643";"maho rouge";"Lecythis";"Indet."
"182373";"maho rouge";"Eschweilera";"coriacea"
"104039";"mamadosu";"Indet.";"Indet."
"178329";"mamadosu";"Duroia";"longiflora"
"115479";"man papaie";"Pourouma";"Indet."
"104855";"manil";"Symphonia";"Indet."
"180864";"manil";"Garcinia";"Indet."
"105513";"mapa";"Indet.";"Indet."
"116958";"meli";"Indet.";"Indet."
"126946";"meli";"Lecythis";"Indet."
"109547";"mesupu";"Loreya";"arborescens"
"116899";"mesupu";"Byrsonima";"Indet."
"117775";"mesupu";"Miconia";"minutiflora"
"133125";"mesupu";"Alchorneopsis";"floribunda"
"182302";"mesupu";"Byrsonima";"densa"
"182489";"mesupu";"Byrsonima";"aerugo"
"105763";"Moronobea";"Moronobea";"coccinea"
"158349";"neko udu agitin";"Ormosia";"Indet."
"137044";"pali udu";"Indet.";"Indet."
"181548";"patawa";"Indet.";"Indet."
"117934";"pedieku";"Xylopia";"Indet."
"125520";"pepe (a)tiki";"Eugenia";"coffeifolia"
"179653";"pepe angasa udu";"Oxandra";"asbeckii"
"177999";"pepe boiti";"Pouteria";"bangii"
"115309";"pindia udu";"Vismia";"Indet."
"132709";"pindia udu";"Vismia";"sessilifolia"
"138335";"pindia udu";"Vismia";"guianensis"
"115759";"podo tiki";"Indet.";"Indet."
"137427";"podo tiki";"Guatteria";"citriodora"
"123953";"saint martin rouge";"Andira";"Indet."
"111917";"samaati pali udu";"Indet.";"Indet."
"108137";"santi koko";"Maytenus";"oblongata"
"159111";"santi koko";"Parinari";"campestris"
"170974";"santi koko";"Hebepetalum";"humiriifolium"
"179714";"santi koko";"Cheiloclinium";"cognatum"
"135223";"sipiki udu";"Chaetocarpus";"Indet."
"136229";"Symphonia";"Protium";"Indet."
"125586";"tamalin";"Abarema";"Indet."
"133881";"tatu udu";"Melicoccus";"pedicellaris"
"180640";"tingi moni";"Protium";"Indet."
"117794";"tonka";"Dipteryx";"Indet."
"103171";"topi";"Indet.";"Indet."
"117084";"topi";"Cecropia";"obtusa"
"144620";"tupiki weko";"Chaunochiton";"Indet."
"134513";"wandekole";"Glycydendron";"Indet."
"129369";"wapa";"Eperua";"falcata"
"179321";"wapa";"Eperua";"Indet."
"138593";"weko";"Inga";"pezizifera"
"134754";"weti apisi";"Ocotea";"amazonica"
"151783";"weti apisi";"Ocotea";"cinerea"
"181780";"weti apisi";"Ocotea";"splendens"
"127131";"weti koko";"Indet.";"Indet."
"175843";"weti koko";"Drypetes";"Indet."
"115431";"weti paya";"Indet.";"Indet."
"109778";"weti pedieku";"Xylopia";"Indet."
"118131";"weti pedieku";"Inga";"Indet."
"101692";"weti sali";"Tetragastris";"hostmannii"
"134256";"weti sali";"Protium";"Indet."
"157484";"weti topi";"Chaetocarpus";"Indet."
"178887";"weti udu";"Trichilia";"Indet."
"132672";"yayamadou marécage";"Virola";"surinamensis"
"134808";"yayamadou montagne";"Sloanea";"Indet."
"265429";"-";"Platymiscium";"pinnatum"
"216457";"aganiamai";"Tapirira";"bethanniana"
"212229";"amarante";"Peltogyne";"sp.1CAY-ATDN"
"193305";"atila koko";"Parinari";"campestris"
"199644";"baaka koko";"Quiina";"obovata"
"277122";"baaka mesupu";"Indet.";"Indet."
"208113";"baaka pedieko";"Indet.";"Indet."
"206444";"babun weko";"Inga";"loubryana"
"230643";"babun weko";"Inga";"jenmanii"
"197176";"bakuman";"Vitex";"triflora"
"204337";"bakuman";"Pouteria";"eugeniifolia"
"227137";"bakuman";"Mabea";"piriri"
"229304";"bakuman";"Pouteria";"melanopoda"
"233382";"bakuman";"Talisia";"hexaphylla"
"237767";"bakuman";"Chrysophyllum";"argenteum"
"292290";"bakuman";"Mahurea";"palustris"
"284564";"boco";"Abarema";"mataybifolia"
"222182";"boliken koko";"Hebepetalum";"humiriifolium"
"281823";"boliken koko";"Chaetocarpus";"schomburgkianus"
"286553";"boliken koko";"Sacoglottis";"guianensis"
"199270";"busi kosu";"Sloanea";"sp.21CAY-ATDN"
"201448";"busi kosu";"Sloanea";"sp.5CAY-ATDN"
"209146";"busi kosu";"Sloanea";"sp.24CAY-ATDN"
"213634";"busi kosu";"Ouratea";"guianensis"
"256135";"busi kosu";"Sloanea";"sp.17CAY-ATDN"
"258236";"busi kosu";"Sloanea";"sp.4CAY-ATDN"
"189511";"busi mango";"Tovomita";"sp.9CAY-ATDN"
"206336";"busi mango";"Oxandra";"asbeckii"
"219633";"busi mango";"Tovomita";"sp.P6"
"220748";"busi mango";"Garcinia";"madruno"
"232352";"busi mango";"Tovomita";"macrophylla"
"286362";"cèdre";"Parinari";"campestris"
"230492";"diankoi mata";"Trichilia";"micrantha"
"232045";"diankoi mata";"Catostemma";"fragrans"
"284496";"diankoi mata";"Platymiscium";"pinnatum"
"230472";"dokali";"Brosimum";"guianense"
"236674";"dokali";"Perebea";"guianensis"
"197716";"encens";"Protium";"trifoliolatum"
"273765";"encens";"Protium";"tenuifolium"
"293376";"funguti koko";"Indet.";"Indet."
"267753";"geli apisi";"Aniba";"williamsii"
"234889";"gonfolo gris";"Anacardium";"spruceanum"
"207699";"inkasa";"Vataireopsis";"surinamensis"
"231165";"kodia weko";"Inga";"splendens"
"191831";"koko";"Caraipa";"densifolia"
"195266";"koko";"Cybianthus";"microbotrys"
"198181";"koko";"Couepia";"habrantha"
"213278";"koko";"Eugenia";"cupulata"
"216376";"koko";"Vantanea";"parviflora"
"229510";"koko";"Licania";"parvifructa"
"244322";"koko";"Couratari";"multiflora"
"248527";"koko";"Licania";"longistyla"
"254215";"koko";"Hirtella";"racemosa"
"275691";"koko";"Parinari";"campestris"
"295309";"koko";"Quiina";"integrifolia"
"259858";"kukuniefu";"Ouratea";"guianensis"
"206617";"kumanti udu";"Aspidosperma";"helstonei"
"258119";"kumanti udu";"Rauvolfia";"paraensis"
"225718";"kwasi tiki";"Minquartia";"guianensis"
"196588";"lakasi";"Siparuna";"cuspidata"
"203246";"lakasi";"Eugenia";"pseudopsidium"
"278907";"lakasi";"Eugenia";"latifolia"
"295206";"lakasi";"Eugenia";"cupulata"
"211272";"lebi koko";"Myrcia";"magnoliifolia"
"212769";"lebi koko";"Sacoglottis";"guianensis"
"217851";"lebi koko";"Quiina";"obovata"
"219925";"lebi koko";"Humiriastrum";"subcrenatum"
"258209";"lebi koko";"Hebepetalum";"humiriifolium"
"267143";"lebi koko";"Couepia";"guianensis"
"271552";"lebi koko";"Vantanea";"guianensis"
"280575";"lebi koko";"Ouratea";"decagyna"
"194451";"lebi sali";"Tetragastris";"hostmannii"
"221955";"lebi sali";"Dacryodes";"nitens"
"255227";"lebi sali";"Indet.";"Indet."
"270666";"lebi sali";"Protium";"opacum"
"193280";"maho cochon";"Sterculia";"multiovula"
"246669";"maho coton";"Eriotheca";"longitubulosa"
"231883";"maho noir";"Couratari";"guianensis"
"191420";"malobi";"Chrysophyllum";"pomiferum"
"295509";"man tapuhupa";"Lacunaria";"crenata"
"245862";"mapa";"Tabernaemontana";"undulata"
"288233";"mapa";"Couma";"guianensis"
"267811";"mesupu";"Pouteria";"fimbriata"
"268420";"mesupu";"Miconia";"acuminata"
"268655";"mesupu";"Miconia";"plukenetii"
"193254";"moutouchi savane";"Swartzia";"grandifolia"
"202736";"neko udu";"Swartzia";"grandifolia"
"208805";"neko udu";"Euplassa";"pinnata"
"231321";"neko udu";"Indet.";"Indet."
"235575";"neko udu";"Conceveiba";"guianensis"
"244166";"neko udu";"Swartzia";"panacoco"
"198154";"niamboka";"Amaioua";"guianensis"
"212918";"niamboka";"Chrysophyllum";"cuneifolium"
"226555";"niamboka";"Pouteria";"eugeniifolia"
"231003";"niamboka";"Hieronyma";"oblonga"
"251666";"niamboka";"Pouteria";"bilocularis"
"257750";"niamboka";"Micropholis";"guyanensis"
"194841";"pedieku";"Guatteria";"schomburgkiana"
"276837";"pedieku";"Xylopia";"pulcherrima"
"216322";"pepe (a)tiki";"Guatteria";"schomburgkiana"
"221391";"pepe (a)tiki";"Casearia";"sylvestris"
"228019";"pepe angasa udu";"Anaxagorea";"dolichocarpa"
"211429";"pepe boiti";"Pouteria";"guianensis"
"279549";"pepe boiti";"Eschweilera";"congestiflora"
"195743";"pulu";"Trymatococcus";"amazonicus"
"189005";"saint martin jaune";"Hymenolobium";"flavum"
"213544";"saint martin jaune";"Hebepetalum";"humiriifolium"
"225330";"santi koko";"Licania";"majuscula"
"253342";"santi koko";"Poraqueiba";"guianensis"
"267012";"santi koko";"Licania";"licaniiflora"
"250470";"satiné rubané";"Brosimum";"guianense"
"251531";"satiné rubané";"Trymatococcus";"amazonicus"
"187940";"singabasu";"Eugenia";"sp.FG9-Holst"
"194483";"sipiki udu";"Chaetocarpus";"sp.1"
"188807";"supun udu";"Licania";"alba"
"280626";"taapu tiki";"Parinari";"campestris"
"201987";"tatu udu";"Indet.";"sp.4CAY-ATDN"
"230601";"tatu udu";"Sacoglottis";"guianensis"
"208162";"tingi moni";"Dacryodes";"nitens"
"264750";"tonka";"Dipteryx";"odorata"
"253418";"topi";"Chaetocarpus";"sp.1CAY-ATDN"
"285184";"topi";"Swartzia";"grandifolia"
"211839";"tupiki weko";"Erythroxylum";"ligustrinum"
"227712";"tupiki weko";"Indet.";"Indet."
"233979";"wana kwali";"Qualea";"rosea"
"197950";"wapa";"Eperua";"grandiflora"
"267623";"weko";"Inga";"jenmanii"
"287967";"weko";"Pouteria";"cicatricata"
"293685";"weko";"Inga";"gracilifolia"
"192754";"weti apisi";"Ocotea";"percurrens"
"220373";"weti apisi";"Conceveiba";"guianensis"
"225745";"weti apisi";"Licaria";"cannella"
"192073";"weti koko";"Amanoa";"guianensis"
"213526";"weti koko";"Ouratea";"decagyna"
"218344";"weti koko";"Eugenia";"pseudopsidium"
"267701";"weti koko";"Cheiloclinium";"cognatum"
"268340";"weti koko";"Hirtella";"bicornis"
"268434";"weti koko";"Abarema";"jupunba"
"272605";"weti koko";"Siparuna";"decipiens"
"292079";"weti koko";"Cassipourea";"guianensis"
"293984";"weti koko";"Ilex";"sp.2CAY-ATDN"
"187645";"weti paya";"Brosimum";"guianense"
"218443";"weti paya";"Brosimum";"rubescens"
"306983";"aganiamai";"Catostemma";"fragrans"
"343261";"aganiamai";"Tapirira";"obtusa"
"313543";"agui";"Ormosia";"bolivarensis"
"302837";"agusiton";"Pouteria";"flavilatex"
"307467";"agusiton";"Rauvolfia";"paraensis"
"308173";"agusiton";"Posoqueria";"Indet."
"312645";"agusiton";"Amaioua";"guianensis"
"319788";"agusiton";"Kutchubaea";"insignis"
"314469";"aia tuende";"Isertia";"Indet."
"358064";"aia tuende";"Isertia";"coccinea"
"307707";"aie weko";"Inga";"loubryana"
"299978";"akoinsiba";"Pouteria";"fimbriata"
"301386";"akoinsiba";"Pouteria";"flavilatex"
"311571";"akoinsiba";"Pouteria";"hispida"
"374084";"akoinsiba";"Trichilia";"micrantha"
"338078";"anangosi";"Buchenavia";"guianensis"
"364708";"anangosi";"Mabea";"piriri"
"312838";"angélique";"Vouarana";"guianensis"
"364354";"asao";"Abarema";"jupunba"
"366742";"baaka mapa";"Pouteria";"hispida"
"313230";"baaka pedieko";"Cecropia";"sciadophylla"
"313883";"bakuman";"Pouteria";"flavilatex"
"337127";"bakuman";"Pouteria";"fimbriata"
"357104";"bakuman";"Pouteria";"sagotiana"
"369744";"bita tiki";"Siparuna";"decipiens"
"329573";"bofo paya";"Trymatococcus";"oligandrus"
"349585";"bofo paya";"Brosimum";"utile"
"368527";"bofo paya";"Eschweilera";"congestiflora"
"309414";"bofo udu";"Vantanea";"parviflora"
"353297";"bofo udu";"Indet.";"Indet."
"321640";"bofom peto";"Heisteria";"ovata"
"375949";"bofom peto";"Poecilanthe";"hostmannii"
"378875";"bois canon";"Inga";"alba"
"379498";"bois canon";"Pourouma";"melinonii"
"379650";"bois saint jean";"Jacaranda";"copaia"
"352350";"boliken koko";"Amanoa";"guianensis"
"375634";"boliken koko";"Pogonophora";"schomburgkiana"
"305941";"buguni";"Inga";"paraensis"
"319018";"buguni";"Inga";"gracilifolia"
"355118";"buguni";"Inga";"stipularis"
"357624";"buguni";"Inga";"thibaudiana"
"364613";"buguni";"Inga";"melinonis"
"311198";"busi banda";"Eugenia";"cupulata"
"343801";"busi banda";"Pouteria";"hispida"
"308391";"busi kosu";"Anacardium";"spruceanum"
"369455";"busi kosu";"Protium";"tenuifolium"
"356334";"busi papaie";"Cecropia";"sciadophylla"
"378593";"busi papaie";"Pourouma";"melinonii"
"306224";"cèdre";"Aniba";"williamsii"
"377729";"cèdre";"Aniba";"citrifolia"
"357757";"copaya";"Schefflera";"decaphylla"
"338711";"diaguidia";"Humiriastrum";"excelsum"
"338312";"diankatu";"Ficus";"Indet."
"338744";"encens";"Tetragastris";"hostmannii"
"378612";"encens";"Dacryodes";"nitens"
"330414";"gaan moni";"Protium";"tenuifolium"
"321025";"geli koko";"Hebepetalum";"humiriifolium"
"357245";"geli koko";"Eschweilera";"sagotiana"
"324432";"kimboto";"Pradosia";"ptychandra"
"350560";"kodia weko";"Inga";"rubiginosa"
"305128";"koko";"Touroulia";"guianensis"
"310198";"koko";"Eschweilera";"sagotiana"
"325291";"koko";"Dicorynia";"guianensis"
"337167";"koko";"Pogonophora";"schomburgkiana"
"356599";"koko";"Licania";"densiflora"
"357543";"koko";"Amanoa";"guianensis"
"357660";"koko";"Alchorneopsis";"Indet."
"366649";"koko";"Drypetes";"variabilis"
"374106";"koko";"Lacunaria";"jenmanii"
"375516";"koko";"Crudia";"aromatica"
"369322";"kusisi";"Mabea";"piriri"
"333145";"lebi koko";"Couepia";"habrantha"
"346186";"lebi koko";"Licania";"licaniiflora"
"347245";"lebi koko";"Hirtella";"glandulosa"
"349998";"lebi koko";"Licania";"parvifructa"
"362421";"lebi tongo";"Platymiscium";"pinnatum"
"302093";"maaka";"Amaioua";"guianensis"
"298187";"maho cochon";"Pradosia";"cochlearia"
"314414";"maho cochon";"Hasseltia";"floribunda"
"313795";"maho coton";"Eschweilera";"coriacea"
"344564";"maho noir";"Indet.";"sp.7Guyafor"
"373837";"maho noir";"Eschweilera";"congestiflora"
"308253";"maho rouge";"Catostemma";"fragrans"
"345495";"maho rouge";"Eschweilera";"congestiflora"
"322014";"mamadosu";"Amaioua";"guianensis"
"331793";"mamadosu";"Pouteria";"flavilatex"
"337858";"manil";"Garcinia";"benthamiana"
"313402";"mapa";"Macoubea";"guianensis"
"379557";"mapa";"Ocotea";"cernua"
"365696";"maria congo";"Geissospermum";"laeve"
"350211";"meli";"Indet.";"sp.5Guyafor"
"355023";"mesupu";"Isertia";"coccinea"
"378248";"mesupu";"Eugenia";"anastomosans"
"328584";"Moronobea";"Catostemma";"fragrans"
"372321";"neko udu";"Poecilanthe";"hostmannii"
"320157";"niamboka";"Pouteria";"singularis"
"326587";"niamboka";"Pouteria";"ambelaniifolia"
"334466";"niamboka";"Chrysophyllum";"argenteum"
"364557";"niamboka";"Pouteria";"Indet."
"314130";"niamisi udu";"Indet.";"Indet."
"362442";"niamisi udu";"Siparuna";"decipiens"
"372185";"pepe angasa udu";"Guatteria";"schomburgkiana"
"313721";"pindia udu";"Vismia";"latifolia"
"356750";"pindia udu";"Vismia";"cayennensis"
"307521";"podo tiki";"Guatteria";"schomburgkiana"
"297943";"pulu";"Helicostylis";"pedunculata"
"319106";"pulu";"Ampelocera";"edentula"
"378389";"pulu";"Naucleopsis";"guianensis"
"311484";"samaati pali udu";"Duguetia";"calycina"
"336861";"santi koko";"Buchenavia";"guianensis"
"351414";"singabasu";"Matayba";"arborescens"
"323711";"sipiki udu";"Quiina";"integrifolia"
"342027";"supun udu";"Lueheopsis";"rosea"
"304698";"Symphonia";"Garcinia";"madruno"
"376574";"taapu tiki";"Talisia";"simaboides"
"313212";"tatu udu";"Talisia";"furfuracea"
"314186";"tatu udu";"Vismia";"guianensis"
"321470";"tatu udu";"Indet.";"sp.2CAY-ATDN"
"333477";"tatu udu";"Sloanea";"guianensis"
"334059";"tatu udu";"Micropholis";"guyanensis"
"334789";"tatu udu";"Inga";"splendens"
"314034";"tonka";"Tapirira";"guianensis"
"358053";"tonka";"Tapirira";"bethanniana"
"303616";"tosopasa";"Hirtella";"bicornis"
"323314";"tupiki weko";"Inga";"loubryana"
"356481";"tupiki weko";"Inga";"pezizifera"
"356637";"tupiki weko";"Inga";"alba"
"356697";"tupiki weko";"Miconia";"minutiflora"
"312773";"wandekole";"Hasseltia";"floribunda"
"349283";"wandekole";"Lecythis";"persistens"
"338630";"wapa";"Oxandra";"asbeckii"
"374940";"wapa rivière";"Macrolobium";"bifolium"
"333210";"wata tiki";"Poecilanthe";"hostmannii"
"313707";"weko";"Inga";"thibaudiana"
"314611";"weko";"Inga";"sp.12CAY-ATDN"
"355431";"weko";"Inga";"graciliflora"
"356872";"weko";"Inga";"alba"
"374675";"weko";"Crudia";"aromatica"
"307330";"weti apisi";"Endlicheria";"melinonii"
"338138";"weti koko";"Pogonophora";"schomburgkiana"
"304633";"weti pedieku";"Xylopia";"crinita"
"324215";"weti sali";"Protium";"subserratum"
"330135";"weti sali";"Trichilia";"schomburgkii"
"332393";"weti sali";"Tetragastris";"panamensis"
"378558";"weti sali";"Protium";"opacum"
"301492";"weti topi";"Vantanea";"parviflora"
"322917";"weti topi";"Chaetocarpus";"schomburgkianus"
"331906";"weti topi";"Heisteria";"densifrons"
"304413";"weti udu";"Apeiba";"glabra"
"308835";"weti udu";"Dialium";"guianense"
"314570";"weti udu";"Ilex";"sp.2CAY-ATDN"
"368741";"weti udu";"Mabea";"Indet."
"377809";"weti udu";"Diospyros";"carbonaria"
"299560";"win udu";"Richeria";"grandis"
"427918";"-";"Socratea";"exorrhiza"
"393949";"aganananga";"Lecythis";"persistens"
"429632";"aganiamai";"Ilex";"sp.2CAY-ATDN"
"447866";"agui";"Ormosia";"stipularis"
"399186";"akoinsiba";"Chrysophyllum";"pomiferum"
"417896";"akoinsiba";"Pouteria";"gongrijpii"
"434342";"akoinsiba";"Micropholis";"melinoniana"
"454345";"akoinsiba";"Pouteria";"melanopoda"
"454462";"baaka apisi";"Aniba";"taubertiana"
"428543";"baaka koko";"Quiina";"integrifolia"
"457783";"baaka koko";"Diospyros";"carbonaria"
"389166";"bakuman";"Anacardium";"spruceanum"
"389389";"bakuman";"Ecclinusa";"guianensis"
"413285";"bakuman";"Chrysophyllum";"pomiferum"
"418420";"baolifi";"Tabebuia";"insignis"
"393657";"bofo paya";"Brosimum";"rubescens"
"445800";"bofo paya";"Brosimum";"guianense"
"446474";"bofo paya";"Sacoglottis";"guianensis"
"389561";"bofo udu";"Humiriastrum";"subcrenatum"
"456498";"bofo udu";"Byrsonima";"laevigata"
"451629";"bofom peto";"Amphirrhox";"longifolia"
"451758";"bofom peto";"Pouteria";"bangii"
"459445";"bofom peto";"Sandwithia";"guyanensis"
"392641";"bois rouge";"Parinari";"campestris"
"394049";"boliken koko";"Indet.";"sp.1CAY-ATDN"
"448839";"boliken koko";"Licania";"densiflora"
"400604";"busi kasu";"Indet.";"sp.3Guyafor"
"424312";"busi kosu";"Sloanea";"sp.21(DS)"
"391841";"busi mango";"Eperua";"falcata"
"410235";"busi mango";"Quiina";"integrifolia"
"431856";"busi mango";"Tovomita";"brevistaminea"
"455176";"busi mango";"Tovomita";"sp.22CAY-ATDN"
"383764";"cèdre";"Siparuna";"cuspidata"
"413410";"cèdre";"Licaria";"martiniana"
"400752";"copaya";"Protium";"opacum"
"389186";"diankatu";"Cheiloclinium";"cognatum"
"389612";"diankatu";"Maytenus";"oblongata"
"393697";"diankatu";"Maytenus";"Indet."
"389289";"diankoi mata";"Mabea";"piriri"
"392561";"diankoi mata";"Eugenia";"exaltata"
"409850";"diankoi mata";"Tabebuia";"insignis"
"450272";"diankoi mata";"Guarea";"costata"
"427758";"dodomisinga";"Jacaranda";"copaia"
"450591";"dokali mapa";"Macoubea";"guianensis"
"409194";"ébène verte";"Tabebuia";"insignis"
"427567";"ébène verte";"Platymiscium";"pinnatum"
"430079";"encens";"Micropholis";"guyanensis"
"433454";"gebi udu";"Indet.";"Indet."
"422767";"geli koko";"Sandwithia";"guyanensis"
"427254";"geli koko";"Micropholis";"melinoniana"
"442736";"geli koko";"Bocoa";"prouacensis"
"445965";"geli koko";"Mabea";"piriri"
"459614";"geli koko";"Aniba";"taubertiana"
"430943";"kasaba udu";"Theobroma";"subincanum"
"398216";"kimboto";"Lecythis";"persistens"
"424424";"kodia weko";"Inga";"sarmentosa"
"431836";"kodia weko";"Inga";"jenmanii"
"399008";"koko";"Parinari";"montana"
"414991";"koko";"Casearia";"sylvestris"
"420288";"koko";"Lacunaria";"crenata"
"423179";"koko";"Cassia";"spruceana"
"425305";"koko";"Amphirrhox";"longifolia"
"454155";"koko";"Simaba";"cedron"
"404834";"kusisi";"Duroia";"eriopila"
"417917";"kusisi";"Ormosia";"coutinhoi"
"419329";"lakasi";"Caraipa";"densifolia"
"433247";"lakasi";"Mabea";"piriri"
"385461";"lebi koko";"Couepia";"bracteosa"
"401835";"lebi koko";"Amphirrhox";"longifolia"
"409351";"lebi koko";"Couepia";"obovata"
"455750";"lebi koko";"Parinari";"campestris"
"405806";"lebi sali";"Caraipa";"densifolia"
"399126";"maho noir";"Eperua";"falcata"
"412382";"maho noir";"Eschweilera";"squamata"
"414663";"maho noir";"Hirtella";"bicornis"
"418466";"maho noir";"Lecythis";"poiteaui"
"457947";"maho noir";"Oenocarpus";"bacaba"
"395325";"maho rouge";"Swartzia";"grandifolia"
"386187";"malobi";"Pouteria";"sp.42CAY-ATDN"
"423333";"malobi";"Guarea";"pubescens"
"406918";"man tapuhupa";"Chrysophyllum";"sp.3CAY-ATDN"
"424150";"matawai gedu";"Tachigali";"richardiana"
"434182";"meli";"Eschweilera";"sagotiana"
"412986";"neko udu";"Alexa";"wachenheimii"
"407914";"niamboka";"Ecclinusa";"ramiflora"
"415586";"pedieku";"Xylopia";"frutescens"
"420342";"pedieku";"Unonopsis";"rufescens"
"418271";"pulu";"Brosimum";"guianense"
"446262";"pulu";"Pouteria";"engleri"
"406880";"santi koko";"Amphirrhox";"longifolia"
"416229";"santi koko";"Parinari";"montana"
"444616";"santi koko";"Licania";"parvifructa"
"410751";"singabasu";"Vouarana";"guianensis"
